Product,Old Price,New Price,Change %
"Portronics Beem 550 Smart Android Projector, HD 1080P, Height & Angle Adjustable Design, in-Built Apps, Auto Keystone,Screen Mirroring,6000 Lumens,5W Speaker,HDMI in,USB in,WiFi,BT",9499.0,9499.0,0.0
THEMISTO - built with passion Themisto Beginners 8 In 1 Corded_electric Soldering Iron Kit,259.0,259.0,0.0
Themisto TH-WS15 Electronic digital Kitchen Weighing Scale |10 Kg|Back Light LCD| Made In India with 1 Year Warranty,434.0,434.0,0.0
"Portronics Bridge Y USB 3.0 to Type C OTG Adaptor, 10Gbps High Speed Data Transfer, Thunderbolt to USB Adapter, Compatible for All Type C Devices, Smartphone, Laptops, Tablets, Chargers, MacBook",119.0,119.0,0.0
"Amazon Basics Travel Organiser for Electronic Accessories, Flexible Padded Dividers, Waterproof, Foam Padding, for Cables, Chargers, Hard Disk, Power Bank",469.0,469.0,0.0
Practical Electronics for Inventors,3879.0,3879.0,0.0
"Portronics MODESK Universal Mobile Holder Stand with Metal Body, Anti Skid Design, Light Weight for All Smartphones, Tablets, Kindle, iPad(Black)",119.0,119.0,0.0
"Portronics Talk Three Wearable Bluetooth Speaker with Mic, Magnetic/Spring Clip-On, Upto 10Hours Playtime, IPX5 Water/Dust Resistant, Bluetooth 5.3v, Big Buttons, Portable Speaker with Microphone",1399.0,1399.0,0.0
Lifelong Electronics 2500W Universal Travel Adapter All in One | 3 Type-C 45W PD & 2 USB-A 18W QC 3.0 | Dual Fuse Protection | 180+ Countries - Europe/US/Asia etc | International Socket,1899.0,1899.0,0.0
"GEONIX Vista V8 Smart Projector Full HD 1080p, 4K Decoding, 450 ANSI Lumens, Auto Focus, Dual Band WiFi, Android OS, 32GB Storage, 8W Speakers, 50,000H Lamp Life Ideal for Home & Office, Grey",13999.0,13999.0,0.0
"Destinio Universal Travel Adapter - 6-in-1 Fast Charging International Charger with PD, Type C & 3 USB Ports - All-in-One for US, UK, Europe (45W- Type C- (6 in 1 - Grey)",1599.0,1599.0,0.0
"EDNITA Hanging Weight Machine Electronic Portable Digital LED Screen Luggage Weighing Scale, 50 kg/110 Lb For Multi-Purpose Use",215.0,215.0,0.0
"Thermomate Electronic 50Kgs Digital Luggage Weighing Scale, weight machine for Home kitchen Digital weighing hook scale, Kitchen weighing scale kitchen, Weight machine, kitchen scale 50kg.Black",195.0,195.0,0.0
"Digital Watch, Silver Stainless Steel, Water Resistant LCD Display, Electronic Alarm Chronograph, 24H Time Format",299.0,299.0,0.0
APTECH DEALS Digital Multimeter LCD AC DC Measuring Voltage Current (2000 Counts),239.0,239.0,0.0
"Redmi Move Smartwatch | 1.85"" AMOLED (390×450, 600 nits) | Bluetooth Calling | 140+ Sports | 24×7 HR & SPO₂ | AOD | Up to 14-Day Battery | HyperOS (Blue Blaze Strap)",2499.0,2499.0,0.0
"IONIX Weight Machine for Luggage, Wait Machine, Luggage Wighing Scale, Digital Weighing Scale, Bag Weighing Scale for Luggage, Electronic Portable Fishing Hook Type Digital LED Screen, 50 kg (Black)",199.0,199.0,0.0
"Portronics Tune Prime CarPlay & Android Auto Adapter, Stream YouTube, Netflix, JioHotstar on Car Screen, Converts Wired to Wireless, Qualcomm Octacore Snapdragon, Built-in GPS, 4G SIM Slot, 4GB + 64GB",11999.0,11999.0,0.0
"Honeywell Universal Travel Adapter 70W, 7 in 1 Fast Charging, QC3.0/PD, Universal & US Socket, 3 Type C, 2 USB A, Overload & overvoltage Protection, International Adapter for EU, US, UK & CN/AUS",3859.0,3859.0,0.0
"Honeywell Universal Travel Adapter 70W, 7 in 1 Fast Charging, QC3.0/PD, Universal & US Socket, 3 Type C, 2 USB A, Overload & overvoltage Protection, International Adapter for EU, US, UK & CN/AUS",3859.0,3859.0,0.0
Portronics POR 343 UFO USB Home Charger 6 Ports 8A Charging Station for Smartphones and Tablets - White,548.0,548.0,0.0
"Portronics Snapcase 60W Multifunctional Fast Charging Data Cable Kit, Conversion Set USB A & Type C to Male Micro/Type C/Lightning,Data Transfer,Sim Storage,Sim Eject Pin,Pocket Mirror,Phone Holder",299.0,299.0,0.0
"Portronics 71W Car Power 1C Triple Output Fast Car Charger with 33W Type-C Cable, 20W Type-C PD, 18W USB Port, Fast Charging Adapter Compatible with Cars for iPhone & Android Smartphone (Black)",520.0,520.0,0.0
"pTron Bassbuds Tango in-Ear TWS Ear Buds w/Custom EQ, 50hrs Playtime, Pristine Sound, Dual Mic, TruTalk ENC Calls, Mobile App,Wireless Bluetooth V6.0,Touch Controls,Type-C Charging, IPX5 (Nexua Black)",899.0,899.0,0.0
"Ambrane 45W Universal Charger Adapter, Supports Laptop Charging: MacBook & Type C Laptop, 3X, 1x USB, 2500W AC Socket, International Worldwide Travel Adapter, PD Charging (ATA-04, Green)",1999.0,1999.0,0.0
Electronic Spices 100pcs Cable Connectors 2 Pins Electrical Push Type Cable Connectors Quick Splice Lock Wire Terminal 220V 10A,281.0,281.0,0.0
Weight Machine for Luggage 50kg Weighing Scale Electronic Portable Digital LED Screen Luggage Weight Scale for Home Shop Traveling Suitcase Cylinder Hanging Scale machine With Free Batteries,251.0,251.0,0.0
sE Electronics DM1 Dynamite Active Inline Microphone Preamplifier with 10-Pack Touch Fastener Straps & 20' XLR-XLR Cable Bundle,7195.5,7195.5,0.0
